Name,Card Type,Code,Color,Trait,Level,Cost,AP,HP,Link Requirement,Command Pilot/Pilot Name,Unit Link (Pilot/Trait),Link Description,Pair Effect,Pair Description,Repair,Breach,Support,High Maneuver,Destroyed Effect,Deploy Effect,Rest Effect,First Strike Effect,Ping Effect,Token/Unit Generation,Resource Generation,Cost Reduction Effect,Set Unit/Base As Active,Active Enemy Target Effect,Draw Card Effect,Recover Effect,AP(+) Effect,AP(-) Effect,HP(+) Effect,AP Reduction Prevention,Damage Prevention Effect,Force Target Priority,Bounce Effect,Blocker,Effect Description
Gundam,Unit,GD01-001,Blue,(Earth Federation)(White Base Team),4,3,3,3,Yes,None,Amuro Ray,None,Yes,"[When Paired] If you have 2 or more other Units  in play, draw 1.",1^,1,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,All your White Base Team Units gain Repair 1
Unicorn Gundam (Destroy Mode),Unit,GD01-002,Blue,(Civilian),7,6,5,4,Yes,None,Banagher Links,None,No,None,0,0,0,No,No,No,Yes*,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"When playing this card from your hand, you may destroy 1 of your Link Units with ""Unicorn Mode"" in its card name that is Lv.5. If you do, play this card as if it has 0 Lv. and cost. [Attack] Choose 1 enemy Unit. Rest it."
Unicorn Gundam 02 Banshee (Destroy Mode),Unit,GD01-003,Blue,(Earth Federation),6,4,5,4,Yes,None,Marida Cruz,"[During Link] [Attack] Choose 12 cards from your trash. Return them to their owner's deck and shuffle it. If you do, set this Unit as acvtive. It gains <First Strike> during this turn.",No,None,0,2**,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[During Link] [Attack] Choose 12 cards from your trash. Return them to their owner's deck and shuffle it. If you do, set this Unit as acvtive. It gains <First Strike> during this turn."
Guncannon | RX-77,Unit,GD01-004,Blue,(Earth Federation)(White Base Team),3,2,2,3,Yes,None,White Base Team (Trait),None,Yes,[When Paired] Choose 1 enemy Unit with 2 or less HP. Rest it.,1,0,0,No,No,No,Yes^^,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired] Choose 1 enemy Unit with 2 or less HP. Rest it.
Unicorn Gundam (Unicorn Mode),Unit,GD01-005,Blue,(Civilian),5,4,4,3,Yes,None,Banagher Links,"[During Link] [Destroyed]Return this Unit's paired Pilot to its owner's hand. Then, discard 1.",No,None,0,0,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[During Link] [Destroyed]Return this Unit's paired Pilot to its owner's hand. Then, discard 1"
Delta Plus | MSN-001A1,Unit,GD01-006,Blue,(Earth Federation),4,3,4,3,Yes,None,Earth Federation (Trait),[During Link] This Unit gets HP+1,No,None,1,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,[During Link] This Unit gets HP+1
Noin's Aries | OZ-07AMS,Unit,GD01-007,Blue,(OZ),3,3,2,3,Yes,None,Lucrezia Noin,None,No,None,0,0,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Destroyed] If you have another (OZ) Unit in play, draw 1."
Guntank | RX-75,Unit,GD01-008,Blue,(Earth Federation)(White Base Team),2,1,1,2,No,None,None,None,No,None,0,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy] Choose 1 rested enemy Unit. Deal 1 damage to it.
G-Fighter,Unit,GD01-009,Blue,(Earth Federation)(White Base Team),3,2,3,2,Yes,None,White Base Team (Trait),None,No,None,0,0,0,Yes*,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy] Choose 1 of your (White Base Team) Units. It gains <High-Maneuver> during this turn.
Unicorn Gundam 02 Banshee (Unicorn Mode),Unit,GD01-010,Blue,(Earth Federation),4,3,4,3,Yes,None,Cyber-Newtype (Trait),None,Yes,[When Paired] Choose 1 enemy Unit with 3 or less HP. Rest it.,0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired] Choose 1 enemy Unit with 3 or less HP. Rest it.
Loto | D-50C,Unit,GD01-011,Blue,(Earth Federation),2,2,2,2,Yes,None,Earth Federation (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Zech's Leo | OZ-06MS,Unit,GD01-012,Blue,(OZ),3,2,3,2,Yes,None,OZ (Trait),None,Yes,[When Paired] Choose 1 enemy Unit with 3 or less HP. Rest it.,0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired] Choose 1 enemy Unit with 3 or less HP. Rest it.
Gundam | RX-78-2,Unit,GD01-013,Blue,(Earth Federation)(White Base Team),4,2,3,4,Yes,None,Amuro Ray,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
G-Sky Easy,Unit,GD01-014,Blue,(White Base Team),3,2,1,3,Yes,None,White Base Team (Trait),[During Link] [Activate Action] [Once per Turn] Choose 1 Unit. It recovers 1 HP,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[During Link] [Activate Action] [Once per Turn] Choose 1 Unit. It recovers 1 HP.
Ball | RB-79,Unit,GD01-015,Blue,(Earth Federation),1,1,1,1,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[Attack] Choose1 of your Units. It recovers 1 HP.
Jegan | RGM-890,Unit,GD01-016,Blue,(Earth Federation),3,2,2,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"While you have 2 or more (Earth Federation) Units in play, this card in your hand gets -1 cost."
Stark Jegan | RGM-89S,Unit,GD01-017,Blue,(Earth Federation),3,3,3,3,Yes,None,Earth Federation (Trait),None,No,None,1,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
ReZEL | RGZ-95,Unit,GD01-018,Blue,(Earth Federation),3,2,4,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Byarlant Custom | RX-160S,Unit,GD01-019,Blue,(Earth Federation),4,2,3,4,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"While 4 or more enemy Units are in play, this Unit gains <Blocker>."
Anksha | RAS-96,Unit,GD01-020,Blue,(Earth Federation),4,2,3,3,No,None,None,None,No,None,0,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy] Choose 1 rested enemy Unit. Deal 1 damage to it.
Pisces | OZ-09MMS,Unit,GD01-021,Blue,(OZ),1,1,1,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Cancer | OZ-08MMS,Unit,GD01-022,Blue,(OZ),2,2,2,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Char's Gelgoog | MS-14S,Unit,GD01-023,Green,(Zeon),4,4,4,3,Yes,None,Char Aznable,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Activate Main] Discard 1 (Zeon)/(Neo Zeon) Unit card : If a Pilot is not paired with this Unit, choose 1 (Newtype) Pilot that is Lv.3 or lower from your trash. Pair it with this Unit."
Wing Gundam Zero,Unit,GD01-024,Green,(G Team),8,8,5,7,Yes,None,Heero Yuy,None,No,None,0,0,0,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy]Deal 3 damage to all Units that are Lv.5 or lower.
