card_number,card_name,card_type,colors,lv,cost,ap,hp,traits,effects,link_conditions,pilot_name,pilot_ap,pilot_hp,rarity,set_id,zone,effect_raw
GD01-001,Gundam,Unit,blue,4,3,3,3,"Earth Federation,White Base Team","repair:1,breach:1",Amuro Ray,,0,0,,GD01,,All your White Base Team Units gain Repair 1
GD01-002,Unicorn Gundam (Destroy Mode),Unit,blue,7,6,5,4,Civilian,,Banagher Links,,0,0,,GD01,,"When playing this card from your hand, you may destroy 1 of your Link Units with ""Unicorn Mode"" in its card name that is Lv.5. If you do, play this card as if it has 0 Lv. and cost. [Attack] Choose 1 enemy Unit. Rest it."
GD01-003,Unicorn Gundam 02 Banshee (Destroy Mode),Unit,blue,6,4,5,4,Earth Federation,"breach:2,first_strike",Marida Cruz,,0,0,,GD01,,"[During Link] [Attack] Choose 12 cards from your trash. Return them to their owner's deck and shuffle it. If you do, set this Unit as acvtive. It gains <First Strike> during this turn."
GD01-004,Guncannon | RX-77,Unit,blue,3,2,2,3,"Earth Federation,White Base Team",repair:1,White Base Team (Trait),,0,0,,GD01,,[When Paired] Choose 1 enemy Unit with 2 or less HP. Rest it.
GD01-005,Unicorn Gundam (Unicorn Mode),Unit,blue,5,4,4,3,Civilian,,Banagher Links,,0,0,,GD01,,"[During Link] [Destroyed]Return this Unit's paired Pilot to its owner's hand. Then, discard 1"
GD01-006,Delta Plus | MSN-001A1,Unit,blue,4,3,4,3,Earth Federation,repair:1,Earth Federation (Trait),,0,0,,GD01,,[During Link] This Unit gets HP+1
GD01-007,Noin's Aries | OZ-07AMS,Unit,blue,3,3,2,3,OZ,,Lucrezia Noin,,0,0,,GD01,,"[Destroyed] If you have another (OZ) Unit in play, draw 1."
GD01-008,Guntank | RX-75,Unit,blue,2,1,1,2,"Earth Federation,White Base Team","deploy,ping",,,0,0,,GD01,,[Deploy] Choose 1 rested enemy Unit. Deal 1 damage to it.
GD01-009,G-Fighter,Unit,blue,3,2,3,2,"Earth Federation,White Base Team","high_maneuver,deploy",White Base Team (Trait),,0,0,,GD01,,[Deploy] Choose 1 of your (White Base Team) Units. It gains <High-Maneuver> during this turn.
GD01-010,Unicorn Gundam 02 Banshee (Unicorn Mode),Unit,blue,4,3,4,3,Earth Federation,,Cyber-Newtype (Trait),,0,0,,GD01,,[When Paired] Choose 1 enemy Unit with 3 or less HP. Rest it.
